"","Strike","Last","Chg","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"AMC220304C00005000",5,12.05,0.6999998,12.55,12.8,42,8,2022-02-25 13:17:00,4.187504765625,TRUE
"AMC220304C00006000",6,11.25,0,11.5,11.75,72,2,2022-02-24 15:12:36,4.7187541015625,TRUE
"AMC220304C00007000",7,10,0,10.55,10.75,4,10,2022-02-24 14:48:29,4.0937548828125,TRUE
"AMC220304C00008000",8,9.5,2.35,9.45,9.75,1,5,2022-02-25 09:46:28,3.56250109375,TRUE
"AMC220304C00009000",9,8,0,8.55,8.75,6,6,2022-02-24 14:40:38,3.093752265625,TRUE
"AMC220304C00010000",10,7.07,0.059999943,7.55,7.75,1,61,2022-02-25 13:54:18,2.6718783203125,TRUE
"AMC220304C00011000",11,6.7,0,6.55,6.75,13,21,2022-02-25 15:55:43,2.281254296875,TRUE
"AMC220304C00011500",11.5,4.85,4.85,6,6.3,NA,1,2022-02-23 12:54:37,2.32031669921875,TRUE
"AMC220304C00012000",12,5.7,0.2999997,5.55,5.8,9,17,2022-02-25 15:53:57,1.40625296875,TRUE
"AMC220304C00012500",12.5,5.1,5.1,5.1,5.3,231,27,2022-02-25 15:40:24,1.5000025,TRUE
"AMC220304C00013000",13,4.55,0.10000038,4.5,4.8,26,87,2022-02-25 15:38:22,1.76953240234375,TRUE
"AMC220304C00013500",13.5,4.3,-0.009999752,4.1,4.4,24,11,2022-02-25 15:30:23,1.4296903515625,TRUE
"AMC220304C00014000",14,3.78,-0.120000124,3.7,3.9,44,256,2022-02-25 15:58:51,1.4296903515625,TRUE
"AMC220304C00014500",14.5,3.4,-0.099999905,3.25,3.45,32,79,2022-02-25 15:31:43,1.3828155859375,TRUE
"AMC220304C00015000",15,2.99,-0.16000009,2.74,3.15,575,764,2022-02-25 15:59:47,1.39453427734375,TRUE
"AMC220304C00015500",15.5,2.55,-0.19000006,2.53,2.62,144,185,2022-02-25 15:59:09,1.41601854492188,TRUE
"AMC220304C00016000",16,2.21,-0.18000007,2.14,2.25,1187,1764,2022-02-25 15:59:59,1.37890935546875,TRUE
"AMC220304C00016500",16.5,1.9,-0.15999997,1.87,1.95,1157,748,2022-02-25 15:59:42,1.42773723632812,TRUE
"AMC220304C00017000",17,1.61,-0.17999995,1.6,1.62,3233,3858,2022-02-25 15:59:20,1.4140654296875,TRUE
"AMC220304C00017500",17.5,1.35,-0.23000002,1.34,1.39,4923,1493,2022-02-25 15:59:49,1.4296903515625,TRUE
"AMC220304C00018000",18,1.13,-0.21000004,1.11,1.16,7650,4041,2022-02-25 15:59:52,1.42578412109375,FALSE
"AMC220304C00018500",18.5,0.95,-0.18,0.91,0.97,2146,1836,2022-02-25 15:59:26,1.42773723632812,FALSE
"AMC220304C00019000",19,0.78,-0.19000006,0.78,0.8,5130,4014,2022-02-25 15:59:59,1.44922150390625,FALSE
"AMC220304C00019500",19.5,0.66,-0.15999997,0.64,0.69,865,848,2022-02-25 15:59:57,1.47265888671875,FALSE
"AMC220304C00020000",20,0.56,-0.17000002,0.54,0.56,7909,8698,2022-02-25 15:59:56,1.484377578125,FALSE
"AMC220304C00020500",20.5,0.48,-0.14000002,0.45,0.48,795,610,2022-02-25 15:59:21,1.50976807617188,FALSE
"AMC220304C00021000",21,0.4,-0.12999997,0.38,0.41,2116,1777,2022-02-25 15:59:48,1.53711168945312,FALSE
"AMC220304C00021500",21.5,0.35,-0.09,0.35,0.36,975,508,2022-02-25 15:59:49,1.59375203125,FALSE
"AMC220304C00022000",22,0.3,-0.099999994,0.28,0.31,1980,1987,2022-02-25 15:59:34,1.60547072265625,FALSE
"AMC220304C00022500",22.5,0.26,-0.110000014,0.25,0.27,895,446,2022-02-25 15:59:45,1.64453302734375,FALSE
"AMC220304C00023000",23,0.23,-0.08999999,0.21,0.24,1051,1308,2022-02-25 15:59:38,1.671876640625,FALSE
"AMC220304C00023500",23.5,0.2,-0.10000001,0.19,0.22,330,454,2022-02-25 15:59:32,1.71875140625,FALSE
"AMC220304C00024000",24,0.19,-0.06999999,0.17,0.19,1016,916,2022-02-25 15:59:58,1.74609501953125,FALSE
"AMC220304C00024500",24.5,0.17,-0.060000002,0.15,0.18,399,360,2022-02-25 15:37:08,1.79296978515625,FALSE
"AMC220304C00025000",25,0.16,-0.049999997,0.14,0.16,4064,5608,2022-02-25 15:59:56,1.828125859375,FALSE
"AMC220304C00025500",25.5,0.15,0.15,0.13,0.15,250,89,2022-02-25 15:57:46,1.875000625,FALSE
"AMC220304C00026000",26,0.14,-0.030000001,0.12,0.14,226,825,2022-02-25 15:59:48,1.91796916015625,FALSE
"AMC220304C00026500",26.5,0.13,0.13,0.11,0.13,60,136,2022-02-25 15:49:40,1.953125234375,FALSE
"AMC220304C00027000",27,0.11,-0.060000002,0.11,0.13,165,1772,2022-02-25 15:59:05,2.02344244140625,FALSE
"AMC220304C00027500",27.5,0.1,0.1,0.1,0.12,72,27,2022-02-25 15:43:30,2.05469236328125,FALSE
"AMC220304C00028000",28,0.12,-0.020000003,0.1,0.11,239,708,2022-02-25 15:55:20,2.093754765625,FALSE
"AMC220304C00028500",28.5,0.1,0.1,0.09,0.11,78,86,2022-02-25 15:59:42,2.1406296484375,FALSE
"AMC220304C00029000",29,0.1,-0.019999996,0.08,0.1,236,531,2022-02-25 15:56:03,2.156254609375,FALSE
"AMC220304C00029500",29.5,0.1,0.1,0.08,0.12,288,188,2022-02-25 15:53:48,2.25781685546875,FALSE
"AMC220304C00030000",30,0.09,-0.029999994,0.08,0.09,2722,6514,2022-02-25 15:59:41,2.250004375,FALSE
"AMC220304C00030500",30.5,0.09,0.09,0.06,0.12,47,44,2022-02-25 15:54:08,2.3281291796875,FALSE
"AMC220304C00031000",31,0.09,-0.019999996,0.07,0.1,39,503,2022-02-25 15:53:36,2.3593791015625,FALSE
"AMC220304C00031500",31.5,0.08,0.08,0.06,0.09,22,29,2022-02-25 15:59:18,2.3593791015625,FALSE
"AMC220304C00032000",32,0.07,-0.030000001,0.06,0.08,146,471,2022-02-25 15:55:01,2.3750040625,FALSE
"AMC220304C00032500",32.5,0.07,0.07,0.06,0.09,31,13,2022-02-25 15:23:12,2.4531288671875,FALSE
"AMC220304C00033000",33,0.07,-0.020000003,0.05,0.09,132,365,2022-02-25 15:36:40,2.47656630859375,FALSE
"AMC220304C00033500",33.5,0.08,0.08,0.07,0.09,28,11,2022-02-25 15:55:32,2.5781285546875,FALSE
"AMC220304C00034000",34,0.06,-0.02,0.05,0.09,158,699,2022-02-25 15:53:48,2.57031607421875,FALSE
"AMC220304C00034500",34.5,0.08,0.08,0.05,0.1,35,169,2022-02-25 12:09:08,2.6406283984375,FALSE
"AMC220304C00035000",35,0.06,-0.040000003,0.06,0.07,129,1182,2022-02-25 15:55:16,2.6250034375,FALSE
"AMC220304C00036000",36,0.07,-0.009999998,0.05,0.08,24,196,2022-02-25 15:59:18,2.718753203125,FALSE
"AMC220304C00037000",37,0.06,-0.010000002,0.05,0.1,89,125,2022-02-25 15:59:18,2.8593778515625,FALSE
"AMC220304C00038000",38,0.06,0,0.05,0.1,119,284,2022-02-25 15:34:00,2.93750265625,FALSE
"AMC220304C00039000",39,0.06,-0.010000002,0.05,0.09,51,80,2022-02-25 15:28:52,2.9843775390625,FALSE
"AMC220304C00040000",40,0.06,-0.010000002,0.04,0.06,615,1926,2022-02-25 15:59:33,2.9218776953125,FALSE
"AMC220304C00045000",45,0.05,-0.009999998,0.04,0.05,4983,9123,2022-02-25 15:59:34,3.2031269921875,FALSE
